settlement_type,old_name,new_name,raion,oblast,date_rename,decision_rename,who_rename,decision-publish_rename,vidomosti
селище,Дзержинське,Зразкове,Луганськ,Луганська,12.05.2016,"1351-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Дзержинське,Березове,Міловський,Луганська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Дзержинське,Лугове,Сумський,Сумська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Дзержинське,Азов,Новоазовський,Донецька,12.05.2016,"1351-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 477"
смт,Дзержинський,Любимівка,Ровеньки,Луганська,12.05.2016,"1351-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Дзержинського,Молодіжне,Бобровицький,Чернігівська,12.05.2016,"1353-VIII, ч. 5",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Диблянки,Диб'янки,Пустомитівський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 617-618"
місто,Димитров,Мирноград,Мирноград,Донецька,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Димитрова,Українське,Лозова,Харківська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Димитрова,Відродження,Шахтарський,Донецька,12.05.2016,"1351-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Димитрове,Квітневе,Броварський,Київська,19.05.2016,"1377-VIII, ч. 3",Верховна Рада України,10.06.2016,"24, ст. 497"
селище,Димитрове,Котлине,Покровський,Донецька,19.05.2016,"1377-VIII, ч. 2",Верховна Рада України,10.06.2016,"24, ст. 497"
селище,Димитрове,Зарічне,Оріхівський,Запорізька,19.05.2016,"1377-VIII, ч. 2",Верховна Рада України,10.06.2016,"24, ст. 497"
смт,Димитрове,Олександрійське,Олександрія,Кіровоградська,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Димитрове,Новоігорівка,Устинівський,Кіровоградська,19.05.2016,"1377-VIII, ч. 3",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Димівка,Демня,Миколаївський,Львівська,11.10.1989,8233-XI,Верховна Рада України,24.10.1989,"43, ст. 600"
село,Дібрівка,Дібровка,Ізяславський,Хмельницька,13.05.2015,409-VIII,Верховна Рада України,19.06.2015,"25, ст. 212"
село,Дібрівка,Дубрівка,Дубенський,Рівненська,23.09.2008,581-VI,Верховна Рада України,06.02.2009,"6, ст.64"
село,Дібрівка,Дібрівне,Лохвицький,Полтавська,28.02.1995,,Полтавська обласна рада,14.03.1995,"11, стор. 236-237"
село,Дібрівка,Дубрівка,Ужгородський,Закарпатська,20.11.1990,,Закарпатська обласна рада,18.12.1990,"51, стор. 950"
село,Дібрівка,Дубрівка,Іршавський,Закарпатська,21.12.2000,2194-III,Верховна Рада України,16.03.2001,"11, ст.57"
село,Дібрівка,Угринів,Сокальський,Львівська,11.06.1993,3280-XII,Верховна Рада України,01.07.1993,"29, ст.319"
село,Дібрівка,Дубрівка,Самбірський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 618"
село,Дібрівка,Дубрівка,Жовківський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 252-253"
село,Дібрівка,Дубравка,Жидачівський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 251"
село,Діброва,Нижня Апша,Тячівський,Закарпатська,05.02.2004,1470-IV,Верховна Рада України,26.03.2004,"13, ст. 190"
село,Діброва,Дуброва,Миколаївський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 617-618"
село,Діброво-Ленінське,Діброва,Бородянський,Київська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Дівичне,Форголань,Виноградівський,Закарпатська,19.10.2000,2060-III,Верховна Рада України,08.12.2000,"49, ст.433"
село,Дідове,Дийда,Берегівський,Закарпатська,02.03.1995,137/95-ПВ,Верховна Рада України,04.04.1995,"14, ст. 98"
смт,Ділятин,Делятин,Надвірнянський,Івано-Франківська,02.10.1989,8201-XI,Верховна Рада України,17.10.1989,"42, ст. 578"
село,Дмитрівка,Дельжилер,Татарбунарський,Одеська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Дніпрельстан,Панькове,Солонянський,Дніпропетровська,19.05.2016,"1377-VIII, ч. 1",Верховна Рада України,10.06.2016,"24, ст  497"
село,Дніпрельстан,Затишне,Новомосковський,Дніпропетровська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
місто,Дніпродзержинськ,Кам'янське,Кам'янське,Дніпропетровська,19.05.2016,"1377-VIII, ч. 1",Верховна Рада України,10.06.2016,"24, ст  497"
місто,Дніпропетровськ,Дніпро,Дніпро,Дніпропетровська,19.05.2016,1375-VIII,Верховна Рада України,10.06.2016,"24, ст. 495"
